Code,KB,Sales,Month,Year
45299,All other gen. merchandise stores,5428,2,2016
453,Miscellaneous store retailers,8665,2,2016
4532,"Office supplies, stationery, and gift stores",2242,2,2016
45321,Office supplies and stationery stores,1104,2,2016
45322,"Gift, novelty, and souvenir stores",1138,2,2016
45330,Used merchandise stores,1207,2,2016
454,Nonstore retailers,40443,2,2016
4541,Electronic shopping and mail-order houses,33394,2,2016
45431,Fuel dealers,3342,2,2016
722,Food services and drinking places,51471,2,2016
7224,Drinking places,1871,2,2016
7225,Restaurants and other eating places,45163,2,2016
722511,Full service restaurants,23401,2,2016
"722513, 722514, 722515",Limited service eating places,21762,2,2016
441,Motor vehicle and parts dealers,82387,3,2020
"44,114,412",Automobile and other motor vehicle dealers,74904,3,2020
4411,Automobile dealers,68937,3,2020
44111,New car dealers,59487,3,2020
44112,Used car dealers,9450,3,2020
4413,"Automotive parts, acc., and tire stores",7483,3,2020
"442,443","Furniture, home furn, electronics, and appliance stores",13975,3,2020
442,Furniture and home furnishings stores,8159,3,2020
4421,Furniture stores,4499,3,2020
4422,Home furnishings stores,3660,3,2020
44221,Floor covering stores,0,3,2020
442299,All other home furnishings stores,1525,3,2020
443,Electronics and appliance stores,5816,3,2020
443141,Household appliance stores,1283,3,2020
443142,Electronics stores,4533,3,2020
444,Building mat. and garden equip. and supplies dealers,32152,3,2020
4441,Building mat. and supplies dealers,27984,3,2020
44412,Paint and wallpaper stores,1085,3,2020
44413,Hardware stores,2372,3,2020
445,Food and beverage stores,80990,3,2020
4451,Grocery stores,73901,3,2020
44511,Supermarkets and other grocery (except convenience) stores,71296,3,2020
4453,"Beer, wine, and liquor stores",5249,3,2020
446,Health and personal care stores,30888,3,2020
44611,Pharmacies and drug stores,26974,3,2020
447,Gasoline stations,34261,3,2020
448,Clothing and clothing access. stores,10969,3,2020
4481,Clothing stores,7584,3,2020
44811,Men's clothing stores,302,3,2020
44812,Women's clothing stores,1493,3,2020
44814,Family clothing stores,4259,3,2020
44819,Other clothing stores,788,3,2020
4482,Shoe stores,1686,3,2020
44831,Jewelry stores,1505,3,2020
451,"Sporting goods, hobby, musical instrument, and book stores",5287,3,2020
45111,Sporting goods stores,3452,3,2020
45112,"Hobby, toy, and game stores",862,3,2020
451211,Book stores,406,3,2020
452,General merchandise stores,63624,3,2020
4521,Department stores,8158,3,2020
452111,Department stores(excl. discount department stores),1305,3,2020
452112,Discount dept. stores,6853,3,2020
4529,Other general merchandise stores,55466,3,2020
45291,Warehouse clubs and superstores,47739,3,2020
45299,All other gen. merchandise stores,7727,3,2020
453,Miscellaneous store retailers,9580,3,2020
4532,"Office supplies, stationery, and gift stores",1646,3,2020
45321,Office supplies and stationery stores,868,3,2020
45322,"Gift, novelty, and souvenir stores",778,3,2020
45330,Used merchandise stores,1028,3,2020
454,Nonstore retailers,66414,3,2020
4541,Electronic shopping and mail-order houses,58622,3,2020
45431,Fuel dealers,3016,3,2020
722,Food services and drinking places,47740,3,2020
7224,Drinking places,0,3,2020
7225,Restaurants and other eating places,42238,3,2020
722511,Full service restaurants,0,3,2020
"722513, 722514, 722515",Limited service eating places,24159,3,2020
441,Motor vehicle and parts dealers,110355,3,2019
"44,114,412",Automobile and other motor vehicle dealers,101927,3,2019
